Elements,Atomic_number,Atomic_weight,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,N6,N7,O1,O2,O3,O4,O5,O6,O7,P1,P2,P3,P4,P5,Q1,Q2,Q3
H,1,1.0099999904632568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
He,2,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,3,6.940000057220459,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Be,4,9.0100002288818359,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,5,10.810000419616699,2.0,2.0,0.33333298563957214,0.6666669845581055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,6,12.010000228881836,2.0,2.0,0.6666669845581055,1.3333300352096558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,7,14.010000228881836,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,8,16.0,2.0,2.0,1.3333300352096558,2.666670083999634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,9,19.0,2.0,2.0,1.6666699647903442,3.333329916000366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ne,10,20.180000305175781,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,11,23.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mg,12,24.319999694824219,2.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al,13,26.969999313354492,2.0,2.0,2.0,4.0,2.0,0.33333298563957214,0.6666669845581055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Si,14,28.090000152587891,2.0,2.0,2.0,4.0,2.0,0.6666669845581055,1.3333300352096558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,15,30.979999542236328,2.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,16,32.069999694824219,2.0,2.0,2.0,4.0,2.0,1.3333300352096558,2.666670083999634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,17,35.459999084472656,2.0,2.0,2.0,4.0,2.0,1.6666699647903442,3.333329916000366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar,18,39.939998626708984,2.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,19,39.099998474121094,2.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca,20,40.080001831054688,2.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sc,21,44.959999084472656,2.0,2.0,2.0,4.0,2.0,2.0,4.0,0.4000000059604645,0.6000000238418579,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ti,22,47.900001525878906,2.0,2.0,2.0,4.0,2.0,2.0,4.0,0.800000011920929,1.2000000476837158,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,23,50.939998626708984,2.0,2.0,2.0,4.0,2.0,2.0,4.0,1.2000000476837158,1.7999999523162842,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr,24,52.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mn,25,54.939998626708984,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fe,26,55.849998474121094,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.4000000953674316,3.5999999046325684,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co,27,58.930000305175781,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.799999952316284,4.199999809265137,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ni,28,58.689998626708984,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.200000047683716,4.800000190734863,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cu,29,63.540000915527344,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn,30,65.379997253417969,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga,31,69.720001220703125,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,0.33333298563957214,0.6666669845581055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ge,32,72.589996337890625,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,0.6666669845581055,1.3333300352096558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,33,74.919998168945313,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Se,34,78.959999084472656,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,1.3333300352096558,2.666670083999634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br,35,79.919998168945313,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,1.6666699647903442,3.333329916000366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kr,36,83.800003051757813,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rb,37,85.480003356933594,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sr,38,87.620002746582031,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,39,88.900001525878906,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,0.4000000059604645,0.6000000238418579,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zr,40,91.220001220703125,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,0.800000011920929,1.2000000476837158,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nb,41,92.910003662109375,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,1.600000023841858,2.4000000953674316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo,42,95.949996948242188,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tc,43,99.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,2.4000000953674316,3.5999999046325684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ru,44,101.06999969482422,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,2.799999952316284,4.199999809265137,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rh,45,102.91000366210937,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,3.200000047683716,4.800000190734863,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pd,46,106.40000152587891,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag,47,107.87999725341797,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd,48,112.41000366210937,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In,49,114.81999969482422,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,0.33333298563957214,0.6666669845581055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn,50,118.69000244140625,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,0.6666669845581055,1.3333300352096558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sb,51,121.76000213623047,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Te,52,127.59999847412109,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,1.3333300352096558,2.666670083999634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,53,126.91000366210937,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,1.6666699647903442,3.333329916000366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe,54,131.30000305175781,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cs,55,132.91000366210937,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba,56,137.36000061035156,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La,57,138.91999816894531,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,2.0,4.0,0.4000000059604645,0.6000000238418579,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ce,58,140.1300048828125,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0.857142984867096,1.1428600549697876,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pr,59,140.91999816894531,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,1.2857099771499634,1.7142900228500366,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nd,60,144.27000427246094,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,1.7142900228500366,2.285710096359253,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pm,61,147.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,2.142859935760498,2.857140064239502,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sm,62,150.35000610351562,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,2.571429967880249,3.428570032119751,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eu,63,152.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,3.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gd,64,157.25999450683594,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,3.0,4.0,2.0,2.0,4.0,0.4000000059604645,0.6000000238418579,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tb,65,158.92999267578125,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,3.857140064239502,5.142859935760498,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy,66,162.50999450683594,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,4.285709857940674,5.714290142059326,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ho,67,164.94000244140625,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,4.714290142059326,6.285709857940674,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Er,68,167.27000427246094,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,5.142859935760498,6.857140064239502,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tm,69,167.27000427246094,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,5.571430206298828,7.428569793701172,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yb,70,173.03999328613281,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lu,71,174.99000549316406,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,0.4000000059604645,0.6000000238418579,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hf,72,178.5,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,0.800000011920929,1.2000000476837158,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ta,73,180.94999694824219,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,1.2000000476837158,1.7999999523162842,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,74,183.91999816894531,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,1.600000023841858,2.4000000953674316,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Re,75,186.19999694824219,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os,76,190.19999694824219,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,2.4000000953674316,3.5999999046325684,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ir,77,192.19999694824219,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,3.5999999046325684,5.400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,78,195.08999633789063,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,3.5999999046325684,5.400000095367432,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Au,79,197.19999694824219,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hg,80,200.61000061035156,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tl,81,204.38999938964844,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,0.33333298563957214,0.6666669845581055,0.0,0.0,0.0,0.0,0.0
Pb,82,207.21000671386719,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,4.0,4.0,6.0,0.0,0.0,2.0,0.6666669845581055,1.3333300352096558,0.0,0.0,0.0,0.0,0.0
